cat_id,cat_name,artist_id,artist_name,genres,face_count,face_id,face_pitch,face_yaw,face_roll,face_gender,face_glasses,face_height,face_width,face_beard,face_moustache,face_sideburns,face_smile
pop,Pop,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,dance pop;dwn trap;indie r&b;pop;pop rap;r&b;rap;trap music;urban contemporary,0,,,,,,,,,,,,
pop,Pop,1bqxdqvUtPWZri43cKHac8,MAX,indie poptimism;pop;post-teen pop;teen pop;viral pop,0,,,,,,,,,,,,
pop,Pop,3iri9nBFs9e4wN7PLIetAw,gnash,pop;post-teen pop;teen pop,0,,,,,,,,,,,,
pop,Pop,163tK9Wjr9P9DmM0AVK7lm,Lorde,dance pop;metropopolis;pop,1,eef6323a-6ca7-4565-b7b9-9640160114be,0.0,0.6,1.9,female,NoGlasses,146,146,0.0,0.0,0.0,0.001
pop,Pop,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,dance pop;edm;pop;post-teen pop;tropical house,1,85b1258a-4c2d-4355-adf5-8500fd6fdb62,0.0,-8.6,-13.2,female,NoGlasses,138,138,0.0,0.0,0.0,0.001
pop,Pop,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,contemporary country,0,,,,,,,,,,,,
pop,Pop,5JZ7CnR6gTvEMKX4g70Amv,Lauv,indie poptimism;vapor soul,0,,,,,,,,,,,,
pop,Pop,6s22t5Y3prQHyaHWUN1R1C,AJR,pop,0,,,,,,,,,,,,
pop,Pop,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,dwn trap;hip hop;pop rap;rap;southern hip hop;trap music,1,edfe470f-6fa9-4e02-b17f-271c3e303f9a,0.0,-3.2,-12.8,male,NoGlasses,82,82,0.4,0.1,0.2,0.0
pop,Pop,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,dance pop;pop;post-teen pop;viral pop,1,83e641a0-a6c2-40e4-a261-7047839eb9c1,0.0,-10.6,30.6,female,NoGlasses,126,126,0.0,0.0,0.0,0.007
pop,Pop,188VINPQh5dyNfLUkevKqf,Olivia Holt,dance pop;pop;post-teen pop;teen pop;viral pop,1,87eec53c-822a-47d3-bc28-44774e6bd998,0.0,9.8,-5.3,female,NoGlasses,123,123,0.0,0.0,0.0,0.0
pop,Pop,738wLrAtLtCtFOLvQBXOXp,Major Lazer,dance pop;edm;electro house;moombahton;pop;tropical house,3,45517d1b-3403-4953-811e-5b2cbb2406a7,0.0,1.2,-14.4,male,NoGlasses,87,87,0.1,0.6,0.2,0.391
pop,Pop,738wLrAtLtCtFOLvQBXOXp,Major Lazer,dance pop;edm;electro house;moombahton;pop;tropical house,3,ceda7462-0a6b-4eb4-a6ca-82ae371c1804,0.0,13.6,25.9,male,NoGlasses,86,86,0.3,0.4,0.2,0.051
pop,Pop,738wLrAtLtCtFOLvQBXOXp,Major Lazer,dance pop;edm;electro house;moombahton;pop;tropical house,3,32c1f8f3-f03b-4397-bba5-634e129c8fef,0.0,8.4,14.7,male,NoGlasses,82,82,0.8,0.8,0.6,0.0
pop,Pop,02A3cEvlLLCbIMVDrK2GHV,Starley,tropical house,1,f600d40f-cc9e-45be-9e8f-52738682f888,0.0,-12.2,-12.2,female,NoGlasses,79,79,0.0,0.0,0.0,0.0
pop,Pop,33JQK4UoS2aMPYBfdB5Ftt,Ryan Riback,melbourne bounce,1,cbefda18-8955-44f5-9d2e-247def8d00e7,0.0,-14.8,5.2,male,NoGlasses,131,131,0.7,0.8,0.7,0.025
pop,Pop,1anyVhU62p31KFi8MEzkbf,Chance The Rapper,pop rap;rap,1,cf5cf8a7-68e5-4b7f-bd42-e6029b9487b6,0.0,5.7,3.3,male,NoGlasses,177,177,0.3,0.4,0.1,1.0
pop,Pop,49O0SPoCoTiK2Nn2tOaHyU,Knox Fortune,,0,,,,,,,,,,,,
pop,Pop,5338fdSzGNOFD4cxAxDTeq,Aaron Carter,dance pop;europop;indie poptimism;post-teen pop,0,,,,,,,,,,,,
pop,Pop,6jJ0s89eD6GaHleKKya26X,Katy Perry,dance pop;pop;pop christmas;post-teen pop,1,3848f6db-66f7-4ccb-911a-fe7cca194b8d,0.0,-5.1,-1.9,female,NoGlasses,233,233,0.0,0.0,0.0,0.0
pop,Pop,4ryoUS0W8qXokfMxrlJt6O,Skip Marley,,0,,,,,,,,,,,,
pop,Pop,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,house;tropical house,0,,,,,,,,,,,,
pop,Pop,5KKpBU5eC2tJDzf0wmlRp2,Raye,,1,e8a6a339-9079-40d0-aba4-c4322cb34358,0.0,-13.2,-12.9,female,NoGlasses,180,180,0.0,0.0,0.0,0.001
pop,Pop,4qBgvVog0wzW75IQ48mU7v,Kyle,dwn trap;pop rap;rap,1,7790ddd9-93e0-4ef0-9939-32744caa78eb,0.0,-20.6,-16.1,male,NoGlasses,155,155,0.3,0.4,0.2,0.018
pop,Pop,6icQOAFXDZKsumw3YXyusw,Lil Yachty,dwn trap;pop rap;rap;trap music,1,66b89a3f-81f5-4a00-8f16-81f3f9f24503,0.0,13.0,6.5,male,NoGlasses,110,110,0.3,0.2,0.0,0.445
pop,Pop,2FwJwEswyIUAljqgjNSHgP,Snakehips,dance pop;edm;indie poptimism;pop;post-teen pop;tropical house,0,,,,,,,,,,,,
pop,Pop,0bdfiayQAKewqEvaU6rXCv,MØ,pop;tropical house,0,,,,,,,,,,,,
pop,Pop,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,dance pop;pop;post-teen pop;teen pop;viral pop,1,7c04bdcf-2bd9-49e1-9391-caa3e00f46af,0.0,-0.3,-7.4,female,NoGlasses,198,198,0.0,0.0,0.0,0.0
pop,Pop,06HL4z0CvFAxyc27GXpf02,Taylor Swift,dance pop;pop;pop christmas;post-teen pop,1,fa763c43-93a6-4466-b90e-cdc02f5bb4f4,0.0,-6.7,-0.8,female,NoGlasses,254,254,0.0,0.0,0.0,0.001
pop,Pop,0jnsk9HBra6NMjO2oANoPY,Flo Rida,dance pop;edm;pop;pop rap;post-teen pop;southern hip hop;tropical house,1,b713377a-a14c-44b7-adf2-5e215439e9d9,0.0,-1.1,-2.5,male,NoGlasses,141,141,0.5,0.3,0.5,0.084
pop,Pop,3hPPNy5OBzCU1icQO7Nrok,99 Percent,dwn trap;teen pop,1,0e5b5085-912a-45c8-904d-29fff693a3c9,0.0,6.0,6.3,male,NoGlasses,48,48,0.1,0.6,0.1,0.001
pop,Pop,02kJSzxNuaWGqwubyUba0Z,G-Eazy,pop rap;rap;underground pop rap,1,df5d3dc0-71d1-42b1-83b1-b37bcefcae32,0.0,2.3,2.3,male,NoGlasses,90,90,0.5,0.3,0.1,0.0
pop,Pop,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,dance pop;deep pop r&b;dwn trap;indie r&b;pop;post-teen pop;r&b,1,1f6db035-13d3-4dd1-91d6-687853dac867,0.0,-21.6,21.8,female,NoGlasses,206,206,0.0,0.0,0.0,0.001
pop,Pop,4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,deep pop edm;edm;pop;tropical house,1,f0e69695-5e69-4334-8498-299a08ed9917,0.0,-25.8,-2.9,male,NoGlasses,120,120,0.1,0.0,0.0,0.01
pop,Pop,246dkjvS1zLTtiykXe5h60,Post Malone,dwn trap;pop rap;rap;trap music,1,ae9db6e5-c712-43b9-ab81-c23a44616250,0.0,-2.4,-7.9,male,NoGlasses,166,166,0.6,0.6,0.8,0.0
pop,Pop,0VRj0yCOv2FXJNP47XQnx5,Quavo,,0,,,,,,,,,,,,
pop,Pop,4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,latin;latin pop;tropical,1,140ab0ad-ab89-42d6-b008-791ce127dd66,0.0,-16.0,-15.9,male,NoGlasses,263,263,0.6,0.7,0.5,0.997
pop,Pop,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,latin;latin hip hop;reggaeton;tropical,1,033a1c60-d99a-4d73-9873-ca22d120970d,0.0,-1.0,0.7,male,ReadingGlasses,90,90,0.1,0.0,0.0,0.0
pop,Pop,2cFrymmkijnjDg9SS92EPM,Blackbear,indie poptimism;pop;post-teen pop;teen pop,0,,,,,,,,,,,,
pop,Pop,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,dance pop;edm;pop;tropical house,1,f8259764-97f9-447e-8072-dd881732f90a,0.0,-1.5,2.7,male,NoGlasses,216,216,0.6,0.6,0.6,0.0
